#{"t_start": 1756308190.024125, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,140,46.830323
2.0,220,47.034106
0.0,132,47.158614
1.0,174,47.320226
1.0,174,47.48789
0.0,133,47.618098
0.0,137,47.747937
0.0,127,47.870179
0.0,139,48.001532
3.0,270,48.255795
2.0,247,48.487036
0.0,136,48.617269
0.0,126,48.737675
1.0,197,48.922338
2.0,236,49.142611
3.0,276,49.402092
1.0,159,49.548267
2.0,221,49.756103
1.0,185,49.928739
1.0,163,50.082169
3.0,252,50.316768
3.0,255,50.557088
4.0,308,50.84666
2.0,213,51.056298
0.0,132,51.183774
0.0,144,51.321656
3.0,277,51.577123
2.0,229,51.792035
0.0,124,51.915761
3.0,229,52.128645
0.0,161,52.281436
1.0,193,52.463338
2.0,202,52.655698
0.0,134,52.782315
0.0,140,52.917186
1.0,184,53.091357
0.0,146,53.231293
0.0,156,53.377171
1.0,185,53.551318
3.0,292,53.82672
4.0,288,54.097477
5.0,354,54.430841
5.0,360,54.770029
3.0,235,54.987941
0.0,130,55.113171
0.0,140,55.247077
1.0,163,55.399761
1.0,163,55.555096
1.0,151,55.698833
1.0,179,55.867153
1.0,172,56.025978
0.0,145,56.161911
0.0,143,56.297248
0.0,125,56.418465
0.0,131,56.543428
3.0,291,56.81501
2.0,246,57.0479
1.0,191,57.228223
3.0,267,57.479945
2.0,210,57.681732
0.0,138,57.812024
0.0,138,57.942025
2.0,204,58.127551
2.0,284,58.389845
1.0,178,58.559639
1.0,155,58.708635
1.0,185,58.88147
1.0,179,59.047055
2.0,202,59.230776
0.0,125,59.354076
2.0,218,59.556587
3.0,275,59.811932
5.0,337,60.121704
5.0,362,60.460439
1.0,156,60.607786
2.0,203,60.795489
3.0,234,61.025004
1.0,179,61.194419
1.0,160,61.343777
0.0,130,61.466294
2.0,224,61.676324
2.0,213,61.877095
3.0,250,62.111187
0.0,123,62.229663
0.0,139,62.362882
2.0,200,62.550957
2.0,211,62.750053
1.0,173,62.914529
2.0,201,63.104521
2.0,233,63.326326
0.0,124,63.445276
2.0,202,63.635832
3.0,252,63.870388
5.0,331,64.180592
0.0,136,64.310168
1.0,167,64.470993
0.0,134,64.59744
0.0,126,64.719595
1.0,177,64.888344
4.0,280,65.150699
3.0,261,65.398817
0.0,154,65.544626
2.0,258,65.783766
0.0,132,65.906439
7.0,431,66.309018
0.0,128,66.442544
1.0,181,66.623353
1.0,195,66.804068
2.0,188,66.979492
2.0,225,67.189164
1.0,171,67.351856
3.0,256,67.593718
3.0,218,67.804189
3.0,261,68.050648
2.0,236,68.268534
2.0,204,68.458805
0.0,151,68.60307
0.0,140,68.737957
2.0,210,68.930157
1.0,185,69.105075
1.0,195,69.288492
0.0,148,69.428947
1.0,181,69.598157
2.0,209,69.791741
2.0,229,70.002252
1.0,175,70.165075
5.0,341,70.48022
3.0,251,70.713452
