#{"t_start": 1756308190.024125, "env_id": "ALE/Breakout-v5"}
r,l,t
26.0,900,2126.972003
25.0,776,2127.939952
10.0,717,2128.843376
19.0,595,2129.590156
26.0,776,2130.563804
26.0,793,2131.560217
21.0,885,2132.65944
15.0,895,2133.772768
15.0,766,2134.751564
20.0,1020,2136.034181
19.0,661,2136.861532
47.0,1183,2138.345297
44.0,1411,2140.114858
17.0,676,2140.957718
12.0,588,2141.697195
14.0,577,2142.414226
49.0,1213,2143.931094
16.0,709,2144.842195
9.0,477,2145.44103
13.0,601,2146.197793
28.0,892,2147.311693
26.0,1028,2148.59474
22.0,828,2149.632277
13.0,618,2150.406219
39.0,1015,2151.677378
16.0,686,2152.538276
34.0,979,2153.767859
10.0,516,2154.436913
15.0,650,2155.251862
19.0,672,2156.098492
16.0,662,2156.928849
25.0,940,2158.109967
21.0,792,2159.105898
29.0,1245,2160.662257
10.0,441,2161.218685
21.0,734,2162.146385
33.0,963,2163.349999
18.0,763,2164.306083
34.0,1184,2165.81266
25.0,810,2166.823011
30.0,938,2167.989094
17.0,791,2168.977344
37.0,1351,2170.66728
39.0,1227,2172.195167
14.0,599,2172.942788
23.0,652,2173.766389
16.0,686,2174.635438
19.0,722,2175.549466
22.0,1476,2177.393637
23.0,859,2178.475912
28.0,1047,2179.786994
39.0,886,2180.902327
24.0,756,2181.851144
15.0,642,2182.658995
20.0,633,2183.449277
17.0,906,2184.582886
25.0,613,2185.366635
31.0,765,2186.32019
26.0,873,2187.414173
26.0,914,2188.561394
30.0,857,2189.635773
26.0,769,2190.608305
31.0,1059,2191.940661
16.0,653,2192.763969
27.0,985,2194.000731
28.0,1015,2195.285283
14.0,626,2196.077066
36.0,993,2197.329686
23.0,847,2198.399745
18.0,732,2199.325145
16.0,785,2200.323309
40.0,1086,2201.692324
17.0,571,2202.410675
44.0,1017,2203.695306
19.0,669,2204.53921
30.0,948,2205.745464
23.0,757,2206.695653
40.0,1001,2207.951758
20.0,852,2209.016903
43.0,1129,2210.442863
17.0,857,2211.520427
21.0,894,2212.643564
12.0,726,2213.5573
19.0,671,2214.399417
34.0,1107,2215.812949
21.0,819,2216.842553
16.0,704,2217.723874
34.0,1161,2219.175326
52.0,1294,2220.803484
22.0,716,2221.700556
27.0,863,2222.785505
11.0,565,2223.497159
38.0,1185,2224.977029
17.0,582,2225.751837
25.0,1049,2227.064712
26.0,935,2228.235554
25.0,829,2229.271679
40.0,956,2230.475691
19.0,659,2231.306321
29.0,1120,2232.708442
20.0,861,2233.791918
11.0,533,2234.46271
36.0,1149,2235.924113
14.0,605,2236.684432
22.0,816,2237.707509
36.0,1172,2239.172364
21.0,748,2240.110374
27.0,881,2241.227585
27.0,701,2242.113251
9.0,457,2242.691035
41.0,1038,2244.002941
25.0,863,2245.084219
30.0,902,2246.242696
29.0,1169,2247.713589
18.0,757,2248.672224
16.0,703,2249.557329
23.0,838,2250.612047
19.0,824,2251.651332
40.0,1259,2253.227107
22.0,926,2254.383476
23.0,809,2255.39538
22.0,699,2256.296964
38.0,1063,2257.631837
39.0,1493,2259.4929
25.0,864,2260.576383
26.0,1102,2261.958464
23.0,825,2262.979771
36.0,1103,2264.337338
34.0,891,2265.435169
17.0,745,2266.384648
26.0,934,2267.540018
26.0,863,2268.617601
15.0,569,2269.32835
15.0,706,2270.215661
23.0,907,2271.350161
23.0,736,2272.276382
20.0,875,2273.370602
25.0,1016,2274.642749
54.0,1225,2276.173799
33.0,1149,2277.624671
34.0,942,2278.802855
22.0,743,2279.731207
47.0,1237,2281.277321
17.0,718,2282.184731
24.0,852,2283.250282
25.0,1113,2284.646121
21.0,912,2285.786321
31.0,1749,2287.987642
22.0,957,2289.18298
27.0,906,2290.330015
32.0,936,2291.518648
22.0,785,2292.499677
32.0,1009,2293.767628
6.0,392,2294.262606
15.0,740,2295.193007
26.0,2110,2297.808029
42.0,1173,2299.256784
36.0,1084,2300.597371
32.0,1062,2301.913062
48.0,1180,2303.394025
26.0,686,2304.254468
26.0,786,2305.244785
19.0,676,2306.09367
17.0,598,2306.844466
32.0,978,2308.084884
29.0,1345,2309.772395
14.0,596,2310.523242
14.0,653,2311.342013
7.0,352,2311.78935
12.0,423,2312.329314
11.0,573,2313.052927
29.0,2227,2315.848835
36.0,1100,2317.247818
42.0,1200,2318.756011
21.0,710,2319.642097
23.0,1396,2321.388133
28.0,858,2322.471342
22.0,640,2323.277682
20.0,735,2324.200052
21.0,629,2324.988237
49.0,1187,2326.47634
29.0,769,2327.456646
35.0,818,2328.482792
25.0,900,2329.608015
15.0,607,2330.367715
47.0,1354,2332.056746
11.0,562,2332.760509
48.0,1158,2334.202688
25.0,761,2335.155983
14.0,524,2335.818916
26.0,2654,2339.158767
17.0,616,2339.937842
29.0,1008,2341.201089
15.0,521,2341.862357
15.0,1556,2343.835999
30.0,1291,2345.454949
42.0,1221,2346.981955
21.0,592,2347.730245
18.0,702,2348.621498
38.0,864,2349.703773
24.0,753,2350.642656
44.0,1608,2352.644691
15.0,581,2353.378606
43.0,754,2354.327914
17.0,736,2355.252853
36.0,1027,2356.540334
40.0,995,2357.781551
69.0,1429,2359.584157
44.0,1367,2361.301898
19.0,677,2362.151028
28.0,968,2363.371026
19.0,659,2364.195112
19.0,758,2365.143308
31.0,993,2366.385242
19.0,775,2367.3556
16.0,755,2368.327216
33.0,1511,2370.220466
38.0,939,2371.403439
27.0,1008,2372.670145
28.0,823,2373.717412
52.0,1065,2375.062465
31.0,966,2376.282287
44.0,1065,2377.62184
24.0,727,2378.571305
20.0,765,2379.536031
32.0,1054,2380.869521
21.0,644,2381.664978
9.0,448,2382.22093
35.0,1018,2383.478004
19.0,755,2384.417902
39.0,1045,2385.706333
38.0,870,2386.782506
30.0,978,2388.010895
28.0,1018,2389.302665
25.0,814,2390.319921
15.0,628,2391.09753
23.0,676,2391.934123
45.0,1047,2393.228078
20.0,706,2394.107762
27.0,1003,2395.346318
16.0,649,2396.14595
17.0,692,2397.003815
21.0,896,2398.109541
34.0,953,2399.313707
9.0,414,2399.826183
13.0,587,2400.553763
10.0,515,2401.192985
11.0,572,2401.900138
37.0,1205,2403.38428
17.0,756,2404.325432
17.0,611,2405.082372
32.0,1602,2407.049505
30.0,681,2407.892275
25.0,500,2408.51698
32.0,1179,2410.020114
38.0,1161,2411.468201
42.0,989,2412.704463
26.0,753,2413.646072
35.0,683,2414.503811
21.0,777,2415.478058
14.0,741,2416.402404
25.0,720,2417.30685
70.0,1354,2419.012634
41.0,1257,2420.605021
23.0,855,2421.678003
59.0,1347,2423.367722
22.0,912,2424.527495
42.0,1133,2425.953191
52.0,1263,2427.537894
42.0,1131,2428.955184
37.0,968,2430.192229
15.0,604,2430.960127
26.0,816,2431.986197
10.0,574,2432.71227
21.0,748,2433.656021
23.0,831,2434.70823
27.0,711,2435.601192
30.0,921,2436.756201
29.0,955,2437.951282
23.0,853,2439.017197
16.0,593,2439.777155
41.0,1400,2441.524723
14.0,724,2442.428053
40.0,1119,2443.822852
27.0,826,2444.859857
24.0,734,2445.778682
34.0,1037,2447.078074
41.0,1007,2448.339054
25.0,790,2449.327746
21.0,811,2450.362258
21.0,1261,2451.924139
13.0,609,2452.684472
26.0,828,2453.720695
31.0,1185,2455.222008
34.0,1046,2456.535495
22.0,715,2457.428458
29.0,1089,2458.781418
31.0,808,2459.808228
21.0,830,2460.848527
28.0,877,2461.94709
55.0,1383,2463.673575
16.0,558,2464.380849
32.0,1073,2465.729037
17.0,662,2466.561418
22.0,805,2467.566169
29.0,1195,2469.06039
15.0,787,2470.070952
44.0,1200,2471.572773
20.0,1080,2472.922674
40.0,1108,2474.318495
28.0,990,2475.568954
38.0,1067,2476.911137
35.0,1000,2478.170636
31.0,1175,2479.642347
18.0,1073,2481.018668
32.0,1011,2482.285816
21.0,1085,2483.654731
36.0,949,2484.85218
28.0,896,2485.976553
64.0,1476,2487.822251
23.0,828,2488.863939
49.0,1190,2490.381082
31.0,1075,2491.727882
24.0,885,2492.833763
24.0,828,2493.872757
33.0,722,2494.780414
13.0,579,2495.518087
18.0,740,2496.456217
27.0,728,2497.374909
34.0,1214,2498.903676
13.0,692,2499.778989
31.0,813,2500.821075
39.0,1063,2502.15325
30.0,890,2503.272952
29.0,1136,2504.692325
17.0,870,2505.784515
31.0,1167,2507.250045
27.0,1002,2508.515478
60.0,1255,2510.094942
27.0,1007,2511.397676
24.0,753,2512.347595
26.0,919,2513.505897
36.0,852,2514.575884
24.0,648,2515.396436
28.0,1031,2516.687874
24.0,707,2517.570208
43.0,1089,2518.942129
43.0,1236,2520.493074
33.0,1140,2521.95003
33.0,1013,2523.228422
13.0,602,2523.986159
27.0,734,2524.90828
34.0,956,2526.118099
40.0,949,2527.314806
34.0,1032,2528.612985
27.0,840,2529.668023
28.0,1219,2531.216478
46.0,1282,2532.829413
26.0,939,2534.01294
10.0,534,2534.689502
51.0,1370,2536.414692
17.0,669,2537.267287
31.0,860,2538.353275
13.0,564,2539.063341
21.0,929,2540.236217
18.0,679,2541.094945
19.0,735,2542.038342
30.0,824,2543.065701
30.0,994,2544.310442
19.0,687,2545.178799
18.0,666,2546.018146
33.0,2613,2549.29283
17.0,668,2550.133721
29.0,1011,2551.447225
29.0,869,2552.535781
24.0,683,2553.397644
24.0,793,2554.391925
36.0,946,2555.578092
21.0,771,2556.550516
22.0,680,2557.403071
31.0,812,2558.420711
14.0,551,2559.113646
23.0,795,2560.108797
16.0,574,2560.824649
20.0,715,2561.735082
13.0,574,2562.460631
23.0,837,2563.512107
10.0,496,2564.133833
14.0,568,2564.846119
31.0,856,2565.918087
12.0,559,2566.627069
17.0,648,2567.444932
35.0,840,2568.493456
30.0,855,2569.563125
27.0,1067,2570.892688
16.0,581,2571.620336
38.0,948,2572.837719
24.0,1172,2574.304507
18.0,830,2575.347543
34.0,773,2576.321211
27.0,753,2577.271447
16.0,879,2578.376338
18.0,649,2579.1945
29.0,1024,2580.478632
27.0,812,2581.498583
21.0,664,2582.356506
21.0,834,2583.399002
21.0,723,2584.306091
34.0,854,2585.378432
33.0,1387,2587.123353
33.0,1140,2588.557363
40.0,1011,2589.831543
40.0,981,2591.069357
11.0,575,2591.799001
18.0,765,2592.784728
19.0,662,2593.611936
26.0,854,2594.685407
16.0,706,2595.565071
25.0,1003,2596.818162
47.0,1053,2598.14706
22.0,747,2599.086323
18.0,675,2599.936377
14.0,652,2600.752503
22.0,1510,2602.640731
22.0,745,2603.564638
36.0,1011,2604.816214
26.0,791,2605.795855
36.0,1258,2607.356086
21.0,978,2608.571734
16.0,729,2609.474933
35.0,899,2610.595907
19.0,592,2611.328224
24.0,757,2612.264234
14.0,608,2613.039061
24.0,972,2614.253667
11.0,619,2615.033461
30.0,936,2616.204887
20.0,732,2617.127097
51.0,1221,2618.659011
23.0,655,2619.481862
41.0,1252,2621.055647
28.0,928,2622.222454
27.0,869,2623.329888
19.0,681,2624.185777
34.0,1217,2625.708776
27.0,751,2626.649599
16.0,693,2627.512464
30.0,979,2628.741776
17.0,708,2629.633416
10.0,493,2630.256103
35.0,876,2631.353852
27.0,1289,2632.976309
20.0,697,2633.860346
44.0,1123,2635.26719
23.0,779,2636.243698
17.0,709,2637.132037
18.0,707,2638.022647
34.0,1019,2639.305924
29.0,778,2640.287969
23.0,625,2641.07947
20.0,680,2641.935404
25.0,871,2643.060321
38.0,1109,2644.445323
41.0,1361,2646.13783
30.0,1262,2647.709563
16.0,771,2648.685374
33.0,1013,2649.955705
29.0,1388,2651.678527
66.0,1375,2653.427242
14.0,658,2654.249057
23.0,856,2655.319727
24.0,1059,2656.640539
17.0,664,2657.473158
35.0,1115,2658.869804
21.0,755,2659.80568
27.0,907,2660.932561
22.0,638,2661.732824
26.0,796,2662.730583
12.0,520,2663.38145
14.0,665,2664.229599
16.0,525,2664.887715
36.0,1207,2666.399395
26.0,984,2667.636126
66.0,1578,2669.612389
13.0,690,2670.473746
43.0,1335,2672.141298
28.0,849,2673.202625
36.0,1049,2674.531256
36.0,1175,2676.00807
43.0,817,2677.036776
33.0,860,2678.119094
22.0,687,2678.988511
38.0,1183,2680.478883
24.0,717,2681.381615
35.0,897,2682.510777
19.0,687,2683.378195
63.0,1501,2685.272966
24.0,940,2686.444881
30.0,887,2687.542688
41.0,1117,2688.945172
18.0,769,2689.912704
19.0,792,2690.907215
30.0,886,2692.013849
21.0,606,2692.774476
32.0,937,2693.941094
30.0,915,2695.099326
24.0,865,2696.17591
19.0,597,2696.921133
34.0,917,2698.068098
9.0,425,2698.609368
27.0,978,2699.833728
18.0,631,2700.621951
31.0,860,2701.696184
12.0,566,2702.400753
12.0,541,2703.076734
44.0,1076,2704.435271
19.0,707,2705.328982
26.0,834,2706.381899
29.0,818,2707.403558
24.0,902,2708.530906
17.0,607,2709.294271
22.0,950,2710.482763
15.0,747,2711.422135
21.0,640,2712.226241
44.0,1058,2713.545566
29.0,1047,2714.881832
22.0,834,2715.923903
28.0,1715,2718.063921
28.0,794,2719.062108
25.0,823,2720.094346
52.0,1316,2721.747277
11.0,516,2722.397704
14.0,656,2723.222033
20.0,623,2724.003164
46.0,1302,2725.647738
33.0,974,2726.867664
26.0,796,2727.862604
15.0,550,2728.559249
40.0,1769,2730.759791
27.0,947,2731.94629
16.0,670,2732.777642
41.0,1136,2734.196196
14.0,654,2735.034142
40.0,1215,2736.561672
18.0,736,2737.490477
14.0,661,2738.326369
33.0,848,2739.397892
32.0,917,2740.56419
48.0,1173,2742.04307
19.0,706,2742.938303
22.0,711,2743.838409
32.0,1213,2745.38801
22.0,802,2746.397028
22.0,656,2747.213874
41.0,1163,2748.673518
35.0,784,2749.65805
39.0,1086,2751.037169
23.0,770,2752.008735
24.0,891,2753.131517
30.0,908,2754.274437
20.0,696,2755.157321
16.0,448,2755.721687
37.0,1100,2757.105763
34.0,1150,2758.551891
33.0,986,2759.792999
17.0,754,2760.747251
41.0,1046,2762.063396
22.0,815,2763.083316
26.0,922,2764.236852
13.0,551,2764.927707
15.0,622,2765.726001
35.0,1205,2767.240857
39.0,1346,2768.926426
36.0,1172,2770.402468
37.0,975,2771.624506
15.0,700,2772.502306
37.0,1176,2773.968051
13.0,624,2774.742597
26.0,1045,2776.049505
41.0,1028,2777.334859
20.0,799,2778.33652
37.0,3252,2782.380835
30.0,1837,2784.66828
22.0,830,2785.722915
19.0,768,2786.685295
34.0,873,2787.779915
38.0,1033,2789.073031
29.0,1154,2790.518429
37.0,945,2791.709573
11.0,535,2792.383834
20.0,1157,2793.825524
31.0,958,2795.023689
9.0,461,2795.605019
19.0,720,2796.554173
27.0,765,2797.515031
37.0,976,2798.738199
27.0,824,2799.773503
53.0,1134,2801.19676
40.0,1017,2802.469295
31.0,956,2803.670161
28.0,922,2804.832218
19.0,798,2805.835046
29.0,863,2806.927979
48.0,1132,2808.336347
38.0,1036,2809.624636
33.0,972,2810.839107
36.0,2530,2813.978549
37.0,1078,2815.318511
38.0,1136,2816.749894
45.0,1355,2818.449074
25.0,903,2819.588464
36.0,889,2820.707778
33.0,801,2821.71605
37.0,854,2822.78706
48.0,1722,2824.936895
45.0,1040,2826.244268
16.0,689,2827.12418
19.0,601,2827.878779
30.0,788,2828.862427
31.0,1046,2830.167534
19.0,830,2831.212424
49.0,1294,2832.843477
22.0,744,2833.779356
29.0,1190,2835.270819
37.0,1000,2836.54663
22.0,690,2837.414578
22.0,890,2838.534794
26.0,947,2839.723389
22.0,777,2840.701071
28.0,905,2841.838734
27.0,810,2842.85746
39.0,1160,2844.302634
35.0,950,2845.486119
23.0,560,2846.188894
25.0,1129,2847.605858
23.0,902,2848.733173
48.0,1307,2850.372858
15.0,612,2851.141963
22.0,1424,2852.91601
22.0,798,2853.915286
29.0,608,2854.677393
27.0,1160,2856.138854
25.0,850,2857.221773
33.0,1038,2858.526967
10.0,528,2859.193247
32.0,1110,2860.588985
26.0,1108,2861.971662
23.0,702,2862.848618
19.0,569,2863.561552
14.0,688,2864.422868
24.0,795,2865.423308
36.0,993,2866.670303
44.0,1507,2868.586917
22.0,819,2869.620134
14.0,607,2870.382193
21.0,706,2871.261595
48.0,1222,2872.794461
45.0,1195,2874.286164
31.0,1166,2875.742929
32.0,1107,2877.130194
10.0,459,2877.721792
24.0,750,2878.663118
7.0,391,2879.151205
18.0,704,2880.035531
21.0,585,2880.771626
26.0,905,2881.911309
10.0,480,2882.520246
25.0,793,2883.524432
23.0,668,2884.369078
28.0,864,2885.456308
20.0,845,2886.520485
17.0,590,2887.261228
21.0,576,2887.997416
25.0,770,2888.966912
48.0,1196,2890.469887
28.0,834,2891.514948
24.0,882,2892.627565
33.0,867,2893.7196
35.0,1165,2895.182458
30.0,819,2896.207531
20.0,856,2897.279426
31.0,1062,2898.625761
48.0,1199,2900.133181
21.0,857,2901.207839
34.0,949,2902.3979
32.0,1057,2903.726712
32.0,1268,2905.309687
31.0,892,2906.423305
26.0,773,2907.392741
49.0,1192,2908.911816
26.0,943,2910.096516
41.0,1105,2911.485095
27.0,859,2912.565806
17.0,662,2913.420941
20.0,697,2914.294554
7.0,402,2914.800555
20.0,696,2915.672903
14.0,625,2916.456365
26.0,877,2917.553563
19.0,853,2918.649679
33.0,818,2919.67522
22.0,715,2920.574543
25.0,811,2921.587654
28.0,812,2922.602917
37.0,1042,2923.905862
18.0,751,2924.84556
34.0,1220,2926.37815
29.0,793,2927.376459
16.0,463,2927.96231
34.0,738,2928.909503
23.0,2143,2931.591848
30.0,1165,2933.058947
32.0,2342,2935.994353
21.0,776,2936.972854
31.0,898,2938.101696
19.0,830,2939.168806
23.0,781,2940.150894
22.0,748,2941.097558
15.0,672,2941.946135
44.0,1343,2943.642802
15.0,649,2944.460252
21.0,634,2945.258482
21.0,757,2946.212455
33.0,725,2947.125232
46.0,1181,2948.62352
15.0,640,2949.425746
46.0,1066,2950.758701
45.0,831,2951.803885
19.0,710,2952.69924
21.0,705,2953.592129
44.0,1263,2955.182296
26.0,1493,2957.056785
24.0,866,2958.147931
25.0,750,2959.115951
26.0,817,2960.138164
24.0,696,2961.010376
77.0,1521,2962.903475
19.0,787,2963.894624
63.0,1164,2965.34943
28.0,877,2966.446833
13.0,562,2967.154459
25.0,932,2968.322726
17.0,647,2969.156187
26.0,981,2970.384145
21.0,645,2971.191661
29.0,853,2972.26586
42.0,1214,2973.791614
21.0,788,2974.78942
21.0,794,2975.790807
25.0,783,2976.779034
40.0,943,2977.949669
24.0,513,2978.592267
16.0,682,2979.454725
21.0,668,2980.293229
33.0,976,2981.519615
44.0,1512,2983.415752
24.0,722,2984.316633
22.0,835,2985.366444
34.0,1008,2986.630763
32.0,1148,2988.073927
13.0,574,2988.79866
36.0,1021,2990.105822
49.0,1206,2991.619398
15.0,706,2992.509818
16.0,761,2993.471217
39.0,1041,2994.787094
17.0,728,2995.700625
23.0,847,2996.763824
22.0,859,2997.838819
26.0,783,2998.819077
31.0,1514,3000.708865
16.0,575,3001.433347
17.0,712,3002.32465
15.0,1017,3003.594299
29.0,569,3004.308679
21.0,879,3005.412251
34.0,1004,3006.667449
34.0,1068,3008.011312
28.0,936,3009.187872
42.0,1181,3010.695921
22.0,795,3011.688999
20.0,811,3012.707103
29.0,946,3013.896501
19.0,669,3014.745305
25.0,887,3015.859855
27.0,933,3017.028104
38.0,1145,3018.458626
19.0,775,3019.432396
34.0,995,3020.704734
26.0,801,3021.709733
36.0,800,3022.710759
22.0,699,3023.590214
37.0,958,3024.797623
20.0,679,3025.657472
15.0,693,3026.52759
36.0,1044,3027.829999
46.0,981,3029.064065
20.0,934,3030.263952
26.0,729,3031.178851
38.0,1181,3032.654104
17.0,704,3033.532005
26.0,908,3034.673007
19.0,763,3035.63305
21.0,884,3036.738179
22.0,752,3037.680579
34.0,833,3038.72491
24.0,598,3039.478205
18.0,742,3040.426916
17.0,674,3041.272642
47.0,1309,3042.902163
47.0,1209,3044.412428
16.0,712,3045.305226
14.0,643,3046.107403
41.0,994,3047.351957
35.0,886,3048.459048
47.0,1197,3049.94682
20.0,675,3050.805866
24.0,799,3051.806411
28.0,767,3052.763554
49.0,1310,3054.397886
20.0,663,3055.230547
30.0,718,3056.134357
25.0,777,3057.105256
19.0,740,3058.038219
23.0,703,3058.919113
29.0,813,3059.936213
21.0,755,3060.912584
23.0,781,3061.891069
35.0,747,3062.825832
49.0,1039,3064.116003
14.0,637,3064.913165
22.0,817,3065.939602
24.0,890,3067.051929
16.0,833,3068.096239
43.0,1297,3069.70863
32.0,858,3070.797792
27.0,881,3071.904506
25.0,896,3073.029336
38.0,1204,3074.541759
23.0,835,3075.59421
35.0,962,3076.812182
23.0,827,3077.849794
76.0,1504,3079.727626
30.0,880,3080.826801
21.0,821,3081.885272
22.0,1111,3083.275715
53.0,1205,3084.772569
16.0,623,3085.553095
56.0,1549,3087.485353
33.0,1239,3089.033709
11.0,525,3089.690071
20.0,755,3090.632743
24.0,850,3091.727994
13.0,645,3092.535714
15.0,688,3093.393249
18.0,682,3094.248476
33.0,870,3095.336513
26.0,847,3096.411544
29.0,871,3097.49953
42.0,1113,3098.892796
19.0,797,3099.890093
30.0,898,3101.013747
26.0,949,3102.208964
25.0,884,3103.314154
10.0,431,3103.854624
19.0,750,3104.790066
13.0,742,3105.715845
33.0,928,3106.875493
28.0,1017,3108.137193
24.0,983,3109.360668
21.0,892,3110.483162
13.0,583,3111.220218
20.0,715,3112.128996
30.0,1877,3114.468599
43.0,1221,3116.000449
28.0,896,3117.117939
33.0,841,3118.167637
34.0,1090,3119.522694
18.0,593,3120.264036
12.0,799,3121.260383
18.0,612,3122.035767
31.0,1763,3124.239228
32.0,967,3125.449732
46.0,1224,3126.984368
39.0,1937,3129.404198
20.0,740,3130.3347
15.0,678,3131.185781
37.0,827,3132.231767
15.0,642,3133.039206
27.0,982,3134.264422
29.0,1097,3135.633069
21.0,741,3136.555579
15.0,598,3137.305911
36.0,942,3138.493327
21.0,840,3139.550472
29.0,988,3140.796664
23.0,1023,3142.106839
23.0,813,3143.129895
27.0,728,3144.044389
26.0,3231,3148.04839
30.0,975,3149.257236
57.0,1202,3150.757158
19.0,769,3151.723315
21.0,1164,3153.189162
18.0,596,3153.943347
11.0,1006,3155.195763
31.0,918,3156.345939
7.0,541,3157.029464
32.0,1141,3158.467633
23.0,715,3159.363938
23.0,893,3160.481385
40.0,1314,3162.129831
24.0,857,3163.231123
32.0,989,3164.461235
35.0,1193,3165.958237
31.0,975,3167.175751
25.0,871,3168.272727
22.0,780,3169.251798
42.0,2030,3171.773963
24.0,725,3172.704719
25.0,796,3173.700996
24.0,728,3174.614849
25.0,749,3175.551832
55.0,1324,3177.202959
22.0,739,3178.135384
11.0,750,3179.07016
31.0,977,3180.294722
25.0,907,3181.4286
41.0,814,3182.451569
10.0,841,3183.529873
31.0,951,3184.729931
47.0,1254,3186.298513
25.0,976,3187.518791
22.0,714,3188.429168
22.0,667,3189.267406
35.0,840,3190.325336
26.0,733,3191.235214
26.0,865,3192.308656
51.0,1188,3193.78622
11.0,479,3194.381997
14.0,673,3195.213342
22.0,795,3196.200833
63.0,1256,3197.770543
16.0,543,3198.463788
23.0,711,3199.354121
21.0,808,3200.373303
33.0,1224,3201.90315
45.0,1162,3203.376721
28.0,1128,3204.789855
31.0,892,3205.909261
20.0,764,3206.864321
34.0,966,3208.077851
32.0,905,3209.212759
18.0,548,3209.904809
73.0,1800,3212.151132
30.0,1041,3213.463881
24.0,831,3214.513017
40.0,1122,3215.930054
15.0,604,3216.697567
35.0,1072,3218.049587
19.0,768,3219.028366
23.0,664,3219.860692
16.0,712,3220.758551
17.0,725,3221.671765
15.0,707,3222.564847
31.0,886,3223.683813
28.0,667,3224.536735
14.0,643,3225.349268
28.0,829,3226.394388
28.0,1036,3227.702057
16.0,696,3228.583359
33.0,943,3229.779842
23.0,700,3230.661614
26.0,909,3231.814509
36.0,1300,3233.451835
26.0,808,3234.494974
25.0,885,3235.613428
18.0,763,3236.572989
30.0,939,3237.752569
9.0,388,3238.241582
41.0,1205,3239.763732
28.0,1113,3241.156672
18.0,774,3242.131882
16.0,743,3243.06435
33.0,1260,3244.667995
19.0,1076,3246.007703
26.0,764,3246.961569
23.0,768,3247.914275
33.0,1354,3249.603255
48.0,1267,3251.184855
27.0,783,3252.162765
20.0,818,3253.181851
44.0,1347,3254.878323
48.0,1864,3257.217961
32.0,929,3258.386989
31.0,920,3259.547992
33.0,1044,3260.856129
21.0,836,3261.906276
25.0,755,3262.852421
27.0,588,3263.58884
35.0,844,3264.649747
19.0,740,3265.595925
18.0,583,3266.326635
25.0,727,3267.236918
17.0,627,3268.021527
42.0,1082,3269.372755
11.0,572,3270.098509
19.0,749,3271.03011
15.0,630,3271.8168
20.0,651,3272.622573
16.0,552,3273.306588
35.0,1055,3274.614832
58.0,1607,3276.657296
34.0,1106,3278.048499
19.0,795,3279.047794
26.0,883,3280.167042
36.0,1009,3281.436057
24.0,746,3282.383411
42.0,966,3283.59963
28.0,860,3284.68295
23.0,757,3285.643736
16.0,603,3286.400888
17.0,670,3287.238508
18.0,1047,3288.542414
22.0,561,3289.250921
29.0,1104,3290.642438
33.0,1029,3291.932935
19.0,756,3292.882992
42.0,1164,3294.335246
68.0,1858,3296.676431
32.0,860,3297.74964
40.0,1146,3299.188081
36.0,1186,3300.677331
19.0,589,3301.425333
25.0,855,3302.50117
21.0,903,3303.635195
21.0,856,3304.710184
34.0,1036,3306.036246
34.0,1187,3307.53447
23.0,864,3308.627908
22.0,768,3309.598101
30.0,1034,3310.910697
30.0,953,3312.115026
23.0,948,3313.312511
17.0,740,3314.244776
33.0,1235,3315.811693
22.0,813,3316.834498
36.0,1072,3318.178004
19.0,670,3319.023225
17.0,690,3319.897351
20.0,837,3320.958987
39.0,1777,3323.188912
35.0,895,3324.317296
24.0,742,3325.251455
25.0,622,3326.043995
34.0,1016,3327.304927
28.0,867,3328.378886
22.0,652,3329.190516
41.0,1619,3331.199043
18.0,803,3332.217486
24.0,1073,3333.56819
26.0,748,3334.512494
49.0,1354,3336.240121
28.0,768,3337.206676
13.0,557,3337.911244
30.0,1038,3339.226775
38.0,1383,3340.960866
20.0,764,3341.926906
10.0,535,3342.598775
17.0,646,3343.408528
22.0,704,3344.29034
25.0,777,3345.260666
28.0,900,3346.389995
12.0,507,3347.034531
18.0,557,3347.72576
17.0,704,3348.596815
17.0,1159,3350.028455
10.0,559,3350.723226
23.0,818,3351.741632
16.0,460,3352.315974
38.0,1182,3353.781019
29.0,892,3354.885759
33.0,953,3356.068499
27.0,808,3357.087914
27.0,751,3358.024904
20.0,655,3358.845595
32.0,978,3360.077983
28.0,840,3361.138407
15.0,767,3362.120029
42.0,955,3363.331793
46.0,1173,3364.808495
19.0,811,3365.832141
36.0,1245,3367.431622
25.0,781,3368.400542
19.0,647,3369.199255
9.0,403,3369.700498
17.0,657,3370.528484
35.0,1082,3371.887122
17.0,618,3372.662308
28.0,792,3373.652313
11.0,519,3374.303678
11.0,519,3374.956246
30.0,813,3375.973444
30.0,847,3377.039743
14.0,583,3377.784776
20.0,737,3378.69823
14.0,649,3379.500788
23.0,726,3380.400773
16.0,696,3381.262872
15.0,549,3381.946414
26.0,845,3382.999753
27.0,677,3383.839549
22.0,679,3384.691683
19.0,694,3385.57597
7.0,361,3386.03313
37.0,1137,3387.476787
9.0,463,3388.058129
39.0,1038,3389.353518
29.0,1001,3390.604587
12.0,563,3391.309518
33.0,1448,3393.111859
26.0,1074,3394.450373
18.0,645,3395.262291
33.0,774,3396.232031
11.0,509,3396.873288
46.0,1163,3398.352677
25.0,772,3399.317633
14.0,553,3400.007464
10.0,472,3400.597561
16.0,735,3401.517452
28.0,1048,3402.830131
14.0,592,3403.570359
28.0,997,3404.812052
22.0,857,3405.884799
30.0,1047,3407.201505
